Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
GR+GI,tokyo,5,2,531.039718,2.09E-05,0
KM+BF,tokyo,5,2,488.7970773,0.0120943,0
KM+CH,tokyo,5,2,488.7970773,0.0129226,0
KM+GAR,tokyo,5,2,487.5899705,0.7729661,0
KM+GI,tokyo,5,2,803.9331163,0.0122492,0
KM+GR,tokyo,5,2,488.7970773,0.0121353,0
BF+GI,vancouver,5,2,410.9087297,0.0010494,0
BFTG,vancouver,5,2,400.7371568,0.0040699,0
CH+GI,vancouver,5,2,446.3229432,0.0009762,0
GAC+GI,vancouver,5,2,644.5950212,3.3846402,0
GAC+GR,vancouver,5,2,400.7371568,2.4265774,0
GAC+GR+BF,vancouver,5,2,400.7371568,2.4265664,0
GACC+GI,vancouver,5,2,644.5950212,2.9639273,0
GACC+GR,vancouver,5,2,410.9087297,1.8150176,0
GACC+GR+BF,vancouver,5,2,410.9087297,1.8150201,0
GAR+GI,vancouver,5,2,410.9087297,0.827055,0
GATG,vancouver,5,2,400.7371568,0.69772,0
GITG,vancouver,5,2,410.9087297,0.0013102,0
GR+GI,vancouver,5,2,445.1158364,2.10E-05,0
KM+BF,vancouver,5,2,490.9087297,0.0128797,0
KM+CH,vancouver,5,2,490.9087297,0.0134548,0
KM+GAR,vancouver,5,2,490.9087297,1.0454946,0
KM+GI,vancouver,5,2,649.4234483,0.0127949,0
KM+GR,vancouver,5,2,493.3229432,0.0126523,0
BF+GI,addis_ababa,8,2,621.5666299,0.280186,0
BFTG,addis_ababa,8,2,515.9808435,2.1517938,0
CH+GI,addis_ababa,8,2,544.5666299,0.0027489,0
GAC+GI,addis_ababa,8,2,861.8742418,4.3499313,0
GAC+GR,addis_ababa,8,2,515.9808435,2.0590099,0
GAC+GR+BF,addis_ababa,8,2,515.9808435,2.0648441,0
GACC+GI,addis_ababa,8,2,861.8742418,3.8617868,0
GACC+GR,addis_ababa,8,2,518.1879503,1.6240299,0
GACC+GR+BF,addis_ababa,8,2,518.1879503,1.6329754,0
GAR+GI,addis_ababa,8,2,621.5666299,0.6607342,0
GATG,addis_ababa,8,2,515.9808435,0.7942252,0
GITG,addis_ababa,8,2,621.5666299,0.0028557,0
GR+GI,addis_ababa,8,2,566.6376977,4.00E-05,0
KM+BF,addis_ababa,8,2,831.0163774,0.051423,0
KM+CH,addis_ababa,8,2,840.6732316,0.0172989,0
KM+GAR,addis_ababa,8,2,831.0163774,0.9970506,0
KM+GI,addis_ababa,8,2,889.6376977,0.0148528,0
KM+GR,addis_ababa,8,2,834.6376977,0.0144884,0
BF+GI,amsterdam,8,2,505.7970773,0.2736378,0
BFTG,amsterdam,8,2,479.7970773,2.0208645,0
CH+GI,amsterdam,8,2,528.2823587,0.0023765,0
